"Internal Category","Product ID","Variant ID","SKU","Title","Variant Name","Price (CAD)","Available","Weight (g)","Vendor","Product Type","Tags","Description","Primary Image","All Images","Product URL"
"Marketing & Samples","8047847637103","44487460356207","","American Oak - Abode Sample*","Default Title","5.00","True","454","Nouveau 5","Engineered Hardwood | American Oak","Engineered Hardwood, Nouveau 5","Beautiful, balanced, and built to impress. Nouveau 5 brings a modern edge to everyday living. This (narrow) 5"" width gives a traditional look and contemporary feel that complements any personality and any home. TrueShield TM is a coating layer that provides scratch, stain and wear resistance. Biyork’s proprietary wear layer blend ensures enhanced protection, performance, and prolonged lifespan of the flooring. THE SPECIFICATIONS Engineered Hardwood Flooring American Oak 5"" Width x 3/4"" Thick x Fixed lengths 24"" | 48"" | 72"" Wirebrushed Finish Character Plus Grade ABC 1.2mm Veneer Tongue &amp; Groove System On, Above or Below Grade Floor Radiant Heat System Compatible 30-year Residential Warranty Indoor Air Quality Certified: FloorScore TrueShield: Scratch, Stain and Wear Resistance Documentations Product Technical Documents","https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Screenshot2026-02-04at5.04.47PM.png?v=1770242693","https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Screenshot2026-02-04at5.04.47PM.png?v=1770242693 | https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Screenshot2026-02-04at5.05.17PM.png?v=1770242726","https://www.biyorkcanada.com/products/american-oak-abode-sample"
"Marketing & Samples","8047849603183","44487624687727","","American Oak - Anchor Sample*","Default Title","5.00","True","454","Nouveau 5","Engineered Hardwood | American Oak","Engineered Hardwood, Nouveau 5","Beautiful, balanced, and built to impress. Nouveau 5 brings a modern edge to everyday living. This (narrow) 5"" width gives a traditional look and contemporary feel that complements any personality and any home. TrueShield TM is a coating layer that provides scratch, stain and wear resistance. Biyork’s proprietary wear layer blend ensures enhanced protection, performance, and prolonged lifespan of the flooring. THE SPECIFICATIONS Engineered Hardwood Flooring American Oak 5"" Width x 3/4"" Thick x Fixed lengths 24"" | 48"" | 72"" Wirebrushed Finish Character Plus Grade ABC 1.2mm Veneer Tongue &amp; Groove System On, Above or Below Grade Floor Radiant Heat System Compatible 30-year Residential Warranty Indoor Air Quality Certified: FloorScore TrueShield: Scratch, Stain and Wear Resistance Documentations Product Technical Documents","https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Screenshot2026-02-04at5.08.00PM.png?v=1770242897","https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Screenshot2026-02-04at5.08.00PM.png?v=1770242897 | https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Screenshot2026-02-04at5.07.37PM.png?v=1770242897","https://www.biyorkcanada.com/products/american-oak-anchor-sample"
"Marketing & Samples","7683968598127","42651978432623","BYKN6AOBP","American Oak - Bavarian Palace Sample*","Default Title","5.00","True","454","Nouveau 6","Engineered Hardwood | European Oak","6-1/2 Inch, Engineered Hardwood, European Oak, Nouveau 6, Nouveau 6 New Color","No detail has been overlooked and no corners have been cut. This beautiful 6 inch wide plank is designed to get noticed. Available in a wide selection of different species, Nouveau 6 can cater to almost every personality looking for a versatile and contemporary look for the home. TrueShield TM is a coating layer that provides scratch, stain and wear resistance. Biyork’s proprietary wear layer blend ensures enhanced protection, performance, and prolonged lifespan of the flooring. THE SPECIFICATIONS Engineered Hardwood Flooring American Oak 6 1/2"" Width x 3/4"" Thick x RL 4 pieces full planks (≤5% is 3 pieces full planks) Beautiful Wirebrushed Character Plus Grade 1.2mm Veneer Tongue &amp; Groove System On, Above or Below Grade Floor Radiant Heat System Compatible 30-year Residential Warranty Indoor Air Quality Certified: FloorScore TrueShield Documentations Product Technical Documents","https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Screenshot2024-11-14at11.29.25AM.png?v=1731601832","https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Screenshot2024-11-14at11.29.25AM.png?v=1731601832 | https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Bavarian_Palace_RS.png?v=1731093454","https://www.biyorkcanada.com/products/american-oak-bavarian-palace-sample"
"Marketing & Samples","8047843639407","44487154991215","","American Oak - Embrace Sample*","Default Title","5.00","True","454","Nouveau 5","Engineered Hardwood | American Oak","Engineered Hardwood, Nouveau 5","Beautiful, balanced, and built to impress. Nouveau 5 brings a modern edge to everyday living. This (narrow) 5"" width gives a traditional look and contemporary feel that complements any personality and any home. TrueShield TM is a coating layer that provides scratch, stain and wear resistance. Biyork’s proprietary wear layer blend ensures enhanced protection, performance, and prolonged lifespan of the flooring. THE SPECIFICATIONS Engineered Hardwood Flooring American Oak 5"" Width x 3/4"" Thick x Fixed lengths 24"" | 48"" | 72"" Wirebrushed Finish Character Plus Grade ABC 1.2mm Veneer Tongue &amp; Groove System On, Above or Below Grade Floor Radiant Heat System Compatible 30-year Residential Warranty Indoor Air Quality Certified: FloorScore TrueShield: Scratch, Stain and Wear Resistance Documentations Product Technical Documents","https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Screenshot2026-02-04at5.00.16PM.png?v=1770242423","https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Screenshot2026-02-04at5.00.16PM.png?v=1770242423 | https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Screenshot2026-02-04at5.01.28PM.png?v=1770242494","https://www.biyorkcanada.com/products/american-oak-embrace-sample"
"Marketing & Samples","8047845277807","44487279280239","","American Oak - Eternal Sample*","Default Title","5.00","True","454","Nouveau 5","Engineered Hardwood | American Oak","Engineered Hardwood, Nouveau 5","Beautiful, balanced, and built to impress. Nouveau 5 brings a modern edge to everyday living. This (narrow) 5"" width gives a traditional look and contemporary feel that complements any personality and any home. TrueShield TM is a coating layer that provides scratch, stain and wear resistance. Biyork’s proprietary wear layer blend ensures enhanced protection, performance, and prolonged lifespan of the flooring. THE SPECIFICATIONS Engineered Hardwood Flooring American Oak 5"" Width x 3/4"" Thick x Fixed lengths 24"" | 48"" | 72"" Wirebrushed Finish Character Plus Grade ABC 1.2mm Veneer Tongue &amp; Groove System On, Above or Below Grade Floor Radiant Heat System Compatible 30-year Residential Warranty Indoor Air Quality Certified: FloorScore TrueShield: Scratch, Stain and Wear Resistance Documentations Product Technical Documents","https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Screenshot2026-02-04at5.04.04PM.png?v=1770242655","https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Screenshot2026-02-04at5.04.04PM.png?v=1770242655 | https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Screenshot2026-02-04at5.02.31PM.png?v=1770242655","https://www.biyorkcanada.com/products/american-oak-eternal-sample"
"Marketing & Samples","7683968761967","42651978891375","BYKN6AOLL","American Oak - Lake Lemano Sample*","Default Title","5.00","True","454","Nouveau 6","Engineered Hardwood | European Oak","6-1/2 Inch, Engineered Hardwood, European Oak, Nouveau 6, Nouveau 6 New Color","No detail has been overlooked and no corners have been cut. This beautiful 6 inch wide plank is designed to get noticed. Available in a wide selection of different species, Nouveau 6 can cater to almost every personality looking for a versatile and contemporary look for the home. TrueShield TM is a coating layer that provides scratch, stain and wear resistance. Biyork’s proprietary wear layer blend ensures enhanced protection, performance, and prolonged lifespan of the flooring. THE SPECIFICATIONS Engineered Hardwood Flooring American Oak 6 1/2"" Width x 3/4"" Thick x RL 4 pieces full planks (≤5% is 3 pieces full planks) Beautiful Wirebrushed Character Plus Grade 1.2mm Veneer Tongue &amp; Groove System On, Above or Below Grade Floor Radiant Heat System Compatible 30-year Residential Warranty Indoor Air Quality Certified: FloorScore TrueShield Documentations Product Technical Documents","https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Screenshot2024-11-14at11.33.36AM.png?v=1731602043","https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Screenshot2024-11-14at11.33.36AM.png?v=1731602043 | https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Lake_Lemano_RS.png?v=1731093628","https://www.biyorkcanada.com/products/american-oak-lake-lemano-sample"
"Marketing & Samples","7683968499823","42651978268783","BYKN6AOLF","American Oak - Loire Forest Sample*","Default Title","5.00","True","454","Nouveau 6","Engineered Hardwood | European Oak","6-1/2 Inch, Engineered Hardwood, European Oak, Nouveau 6, Nouveau 6 New Color","No detail has been overlooked and no corners have been cut. This beautiful 6 inch wide plank is designed to get noticed. Available in a wide selection of different species, Nouveau 6 can cater to almost every personality looking for a versatile and contemporary look for the home. TrueShield TM is a coating layer that provides scratch, stain and wear resistance. Biyork’s proprietary wear layer blend ensures enhanced protection, performance, and prolonged lifespan of the flooring. THE SPECIFICATIONS Engineered Hardwood Flooring American Oak 6 1/2"" Width x 3/4"" Thick x RL 4 pieces full planks (≤5% is 3 pieces full planks) Beautiful Wirebrushed Character Plus Grade 1.2mm Veneer Tongue &amp; Groove System On, Above or Below Grade Floor Radiant Heat System Compatible 30-year Residential Warranty Indoor Air Quality Certified: FloorScore TrueShield Documentations Product Technical Documents","https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Screenshot2024-11-14at11.28.37AM.png?v=1731601732","https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Screenshot2024-11-14at11.28.37AM.png?v=1731601732 | https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Loire_Forest_RS.png?v=1731093331","https://www.biyorkcanada.com/products/american-oak-loire-forest-sample"
"Marketing & Samples","7683967746159","42651975843951","BYKN6AONS","American Oak - Nordic Stave Sample*","Default Title","5.00","True","454","Nouveau 6","Engineered Hardwood | European Oak","6-1/2 Inch, Engineered Hardwood, European Oak, Nouveau 6, Nouveau 6 New Color","No detail has been overlooked and no corners have been cut. This beautiful 6 inch wide plank is designed to get noticed. Available in a wide selection of different species, Nouveau 6 can cater to almost every personality looking for a versatile and contemporary look for the home. TrueShield TM is a coating layer that provides scratch, stain and wear resistance. Biyork’s proprietary wear layer blend ensures enhanced protection, performance, and prolonged lifespan of the flooring. THE SPECIFICATIONS Engineered Hardwood Flooring American Oak 6 1/2"" Width x 3/4"" Thick x RL 4 pieces full planks (≤5% is 3 pieces full planks) Beautiful Wirebrushed Character Plus Grade 1.2mm Veneer Tongue &amp; Groove System On, Above or Below Grade Floor Radiant Heat System Compatible 30-year Residential Warranty Indoor Air Quality Certified: FloorScore TrueShield Documentations Product Technical Documents","https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Nordic_Stave_S.png?v=1731601357","https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Nordic_Stave_S.png?v=1731601357 | https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Nordic_Stave_RS.png?v=1731092835","https://www.biyorkcanada.com/products/american-oak-nordic-stave-sample"
"Marketing & Samples","7683968434287","42651978104943","BYKN6AONI","American Oak - Normandy Isle Sample*","Default Title","5.00","True","454","Nouveau 6","Engineered Hardwood | European Oak","6-1/2 Inch, Engineered Hardwood, European Oak, Nouveau 6, Nouveau 6 New Color","No detail has been overlooked and no corners have been cut. This beautiful 6 inch wide plank is designed to get noticed. Available in a wide selection of different species, Nouveau 6 can cater to almost every personality looking for a versatile and contemporary look for the home. TrueShield TM is a coating layer that provides scratch, stain and wear resistance. Biyork’s proprietary wear layer blend ensures enhanced protection, performance, and prolonged lifespan of the flooring. THE SPECIFICATIONS Engineered Hardwood Flooring American Oak 6 1/2"" Width x 3/4"" Thick x RL 4 pieces full planks (≤5% is 3 pieces full planks) Beautiful Wirebrushed Character Plus Grade 1.2mm Veneer Tongue &amp; Groove System On, Above or Below Grade Floor Radiant Heat System Compatible 30-year Residential Warranty Indoor Air Quality Certified: FloorScore TrueShield Documentations Product Technical Documents","https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Screenshot2024-11-14at11.27.41AM.png?v=1731601681","https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Screenshot2024-11-14at11.27.41AM.png?v=1731601681 | https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Normandy_Isle_RS.png?v=1731093212","https://www.biyorkcanada.com/products/american-oak-normandy-isle-sample"
"Marketing & Samples","7683968139375","42651977154671","BYKN6AOPG","American Oak - Polynesian Grove Sample*","Default Title","5.00","True","454","Nouveau 6","Engineered Hardwood | European Oak","6-1/2 Inch, Engineered Hardwood, European Oak, Nouveau 6, Nouveau 6 New Color","No detail has been overlooked and no corners have been cut. This beautiful 6 inch wide plank is designed to get noticed. Available in a wide selection of different species, Nouveau 6 can cater to almost every personality looking for a versatile and contemporary look for the home. TrueShield TM is a coating layer that provides scratch, stain and wear resistance. Biyork’s proprietary wear layer blend ensures enhanced protection, performance, and prolonged lifespan of the flooring. THE SPECIFICATIONS Engineered Hardwood Flooring American Oak 6 1/2"" Width x 3/4"" Thick x RL 4 pieces full planks (≤5% is 3 pieces full planks) Beautiful Wirebrushed Character Plus Grade 1.2mm Veneer Tongue &amp; Groove System On, Above or Below Grade Floor Radiant Heat System Compatible 30-year Residential Warranty Indoor Air Quality Certified: FloorScore TrueShield Documentations Product Technical Documents","https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Screenshot2024-11-14at11.26.47AM.png?v=1731601624","https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Screenshot2024-11-14at11.26.47AM.png?v=1731601624 | https://cdn.shopify.com/s/files/1/0271/4422/4879/files/Polynesian_Grove_RS.png?v=1731093006","https://www.biyorkcanada.com/products/american-oak-polynesian-grove-sample"
